x,x,x^3,lg(x),ln(x),lg^2(x),ln(ln(x)),xlg(x),x^(1/lg(x)),2^x,e^x,x!
0,0.00000,0.00000,-inf,-inf,inf,nan,nan,1.00000,1.00000,1.00000,1.00000,
1,1.00000,1.00000,0.00000,0.00000,0.00000,-inf,0.00000,1.00000,2.00000,2.71828,1.00000,
2,2.00000,8.00000,1.00000,0.69315,1.00000,-0.36651,2.00000,2.00000,4.00000,7.38906,2.00000,
3,3.00000,27.00000,1.58496,1.09861,2.51211,0.09405,4.75489,2.00000,8.00000,20.08554,6.00000,
4,4.00000,64.00000,2.00000,1.38629,4.00000,0.32663,8.00000,2.00000,16.00000,54.59815,24.00000,
5,5.00000,125.00000,2.32193,1.60944,5.39135,0.47588,11.60964,2.00000,32.00000,148.41316,120.00000,
6,6.00000,216.00000,2.58496,1.79176,6.68203,0.58320,15.50978,2.00000,64.00000,403.42879,720.00000,
7,7.00000,343.00000,2.80735,1.94591,7.88124,0.66573,19.65148,2.00000,128.00000,1096.63316,5040.00000,
8,8.00000,512.00000,3.00000,2.07944,9.00000,0.73210,24.00000,2.00000,256.00000,2980.95799,40320.00000,
9,9.00000,729.00000,3.16993,2.19722,10.04842,0.78720,28.52933,2.00000,512.00000,8103.08393,362880.00000,
10,10.00000,1000.00000,3.32193,2.30259,11.03521,0.83403,33.21928,2.00000,1024.00000,22026.46579,3628800.00000,
11,11.00000,1331.00000,3.45943,2.39790,11.96767,0.87459,38.05375,2.00000,2048.00000,59874.14172,39916800.00000,
12,12.00000,1728.00000,3.58496,2.48491,12.85196,0.91024,43.01955,2.00000,4096.00000,162754.79142,479001600.00000,
13,13.00000,2197.00000,3.70044,2.56495,13.69325,0.94194,48.10572,2.00000,8192.00000,442413.39201,6227020800.00000,
14,14.00000,2744.00000,3.80735,2.63906,14.49595,0.97042,53.30297,2.00000,16384.00000,1202604.28416,87178291200.00000,
15,15.00000,3375.00000,3.90689,2.70805,15.26379,0.99623,58.60336,2.00000,32768.00000,3269017.37247,1307674368000.00000,
16,16.00000,4096.00000,4.00000,2.77259,16.00000,1.01978,64.00000,2.00000,65536.00000,8886110.52051,20922789888000.00000,
17,17.00000,4913.00000,4.08746,2.83321,16.70735,1.04141,69.48687,2.00000,131072.00000,24154952.75358,355687428096000.00000,
18,18.00000,5832.00000,4.16993,2.89037,17.38827,1.06139,75.05865,2.00000,262144.00000,65659969.13733,6402373705728000.00000,
19,19.00000,6859.00000,4.24793,2.94444,18.04489,1.07992,80.71062,2.00000,524288.00000,178482300.96319,121645100408832000.00000,
20,20.00000,8000.00000,4.32193,2.99573,18.67906,1.09719,86.43856,2.00000,1048576.00000,485165195.40979,2432902008176640000.00000,
21,21.00000,9261.00000,4.39232,3.04452,19.29245,1.11334,92.23867,2.00000,2097152.00000,1318815734.48321,
22,22.00000,10648.00000,4.45943,3.09104,19.88653,1.12851,98.10750,2.00000,4194304.00000,3584912846.13159,
23,23.00000,12167.00000,4.52356,3.13549,20.46261,1.14279,104.04192,2.00000,8388608.00000,9744803446.24889,
24,24.00000,13824.00000,4.58496,3.17805,21.02188,1.15627,110.03910,2.00000,16777216.00000,26489122129.84344,
25,25.00000,15625.00000,4.64386,3.21888,21.56540,1.16903,116.09640,2.00000,33554432.00000,72004899337.38578,
26,26.00000,17576.00000,4.70044,3.25810,22.09413,1.18114,122.21143,2.00000,67108864.00000,195729609428.83849,
27,27.00000,19683.00000,4.75489,3.29584,22.60896,1.19266,128.38196,2.00000,134217728.00000,532048240601.79785,
