merge sort best case,merge sort average case, merge sort worst case,quick sort average case, quick sort worst case
0.000069,0.000101,0.000062,0.000065,0.000817
0.000145,0.000208,0.000129,0.000133,0.003240
0.000208,0.000375,0.000251,0.000229,0.007374
0.000276,0.000467,0.000317,0.000317,0.013089
0.000525,0.000609,0.000359,0.000391,0.021795
0.000420,0.000773,0.000537,0.000593,0.029922
0.000526,0.000862,0.000531,0.000587,0.041075
0.000605,0.000995,0.000632,0.000668,0.050253
0.000662,0.001086,0.000677,0.000740,0.063434
0.000807,0.001263,0.000783,0.000842,0.080720
0.000843,0.001354,0.000823,0.000984,0.098009
0.000989,0.001581,0.000965,0.001068,0.120632
0.001076,0.001770,0.001076,0.001174,0.135702
0.001039,0.001713,0.001041,0.001139,0.157074
0.001223,0.002018,0.001252,0.001381,0.192256
0.001281,0.002163,0.001442,0.001442,0.205041
0.001430,0.002261,0.001329,0.001514,0.233280
0.001521,0.002398,0.001451,0.001583,0.261776
0.001549,0.002648,0.001601,0.001707,0.295687
0.001693,0.002775,0.001801,0.001836,0.325751
0.001790,0.002820,0.001729,0.001874,0.360614
0.001698,0.002795,0.001709,0.001860,0.392415
0.001804,0.002928,0.001778,0.001957,0.441796
0.002059,0.003325,0.002109,0.002285,0.475442
0.001998,0.003449,0.002124,0.002230,0.523136
0.002214,0.003702,0.002224,0.002559,0.557846
0.002224,0.003644,0.002223,0.002466,0.599851
0.002189,0.003633,0.002211,0.002560,0.641645
0.002595,0.004229,0.002502,0.002875,0.694747
0.002531,0.004182,0.002715,0.002858,0.744917
0.003780,0.004781,0.002748,0.003085,0.790030
0.002901,0.004506,0.002785,0.003169,0.847682
0.002606,0.004385,0.002783,0.003309,0.897362
0.002982,0.004915,0.003046,0.003328,0.957968
0.003085,0.005070,0.003076,0.003534,1.014081
0.003096,0.005422,0.002976,0.003150,1.076387
0.003363,0.005398,0.003288,0.003664,1.137101
0.003248,0.005035,0.003081,0.003675,1.205362
0.003295,0.005599,0.003340,0.003709,1.257343
0.003533,0.005856,0.003612,0.004033,1.328992
0.003561,0.005921,0.003574,0.004004,1.405040
0.003634,0.006174,0.003629,0.004163,1.470576
0.003892,0.006394,0.003842,0.004334,1.538110
0.003902,0.006534,0.003994,0.004337,1.603444
0.003729,0.006045,0.003780,0.004385,1.676207
0.004155,0.006879,0.004131,0.004853,1.748306
0.004273,0.007112,0.004296,0.004802,1.845793
0.004288,0.007133,0.004329,0.005037,1.922917
0.004441,0.007056,0.003997,0.004492,2.001423
0.004371,0.007355,0.004572,0.004918,2.076872
0.004580,0.007570,0.004749,0.004727,2.160881
0.004660,0.007762,0.004675,0.006269,2.256565
0.004642,0.007786,0.004720,0.005245,2.336713
0.004931,0.008087,0.004880,0.005562,2.453764
0.004755,0.008219,0.005000,0.005589,2.528752
0.005126,0.008497,0.005176,0.005861,2.613450
0.005182,0.008512,0.005262,0.005749,2.721664
0.005685,0.008929,0.005523,0.005977,2.821441
0.005241,0.008795,0.005330,0.006046,2.911614
0.005508,0.009261,0.005646,0.006275,3.019663
0.005642,0.009424,0.005613,0.006339,3.113302
0.005739,0.009492,0.005741,0.006468,3.231520
0.005976,0.009771,0.005835,0.006519,3.341738
0.006036,0.009363,0.005326,0.006255,3.457472
0.005955,0.009710,0.005979,0.006610,3.567181
0.006036,0.010116,0.006081,0.006901,3.653021
0.006243,0.010527,0.006218,0.007074,3.778907
0.005772,0.009710,0.006145,0.006957,3.898725
0.006494,0.011180,0.006571,0.007412,4.005769
0.006442,0.010646,0.006518,0.007234,4.130454
0.006005,0.011062,0.006712,0.007648,4.237098
0.006028,0.010535,0.006489,0.007364,4.353701
0.006794,0.011623,0.006808,0.007680,4.509948
0.006835,0.011593,0.006991,0.007846,4.643412
0.006980,0.011697,0.007039,0.007853,4.724607
0.006771,0.011459,0.006823,0.007432,4.878246
0.006847,0.010963,0.007431,0.007958,5.027719
0.007393,0.012031,0.007377,0.008171,5.106498
0.007568,0.012719,0.007484,0.008377,5.256522
0.007247,0.012073,0.006899,0.008188,5.383319
0.007252,0.011765,0.007444,0.008485,5.526620
0.007900,0.013108,0.007917,0.008853,5.666095
0.007876,0.012953,0.007892,0.008672,5.831780
0.007872,0.013489,0.008108,0.008805,5.968810
0.008262,0.013649,0.008310,0.009279,6.114625
0.008156,0.013745,0.008324,0.009292,6.245969
0.008410,0.015411,0.008550,0.009453,6.405757
0.008460,0.014111,0.008485,0.009498,6.560546
0.007691,0.013485,0.008428,0.009401,6.674431
0.007716,0.013315,0.007809,0.009967,6.862148
0.008899,0.014161,0.008948,0.009599,6.994620
0.008752,0.014470,0.008700,0.009845,7.161885
0.009499,0.014810,0.008843,0.010028,7.357395
0.009124,0.015191,0.009125,0.010427,7.480489
0.009162,0.015587,0.009438,0.010563,7.697579
0.009109,0.015063,0.009199,0.009373,7.808948
0.009264,0.015292,0.008552,0.010111,7.995305
0.009011,0.015214,0.009327,0.010514,8.157590
0.009720,0.016189,0.009734,0.010953,8.318704
0.009828,0.015123,0.009281,0.010731,8.510459
